"Kanevsky, Alex","9/21/2016","25 x 25","","Painting: Oil on Mylar","","YM","18000","Carpinteria","Landscape with Romantic Figure","Dolby Chadwick Gallery","2015","Own"
"Kanevsky, Alex","1/19/2021","21 x 38","Hallway","Oil on Mylar mounted on panel","","YM","25000","Truckee","Mountain with Irises","Dolby Chadwick Gallery","2020","Own"
"Kanevsky, Alex","12/14/2020","18"" x 18""","Master Bed","Oil on board","","YM","13000","Truckee","Peony Variations 3","Dolby Chadwick Gallery","2019","Own"
"Kapoor, Anish","11/3/2021","30 x 40 x 40 cm","Office","Stainless Steel","","YM","225000","NYC","Equilaterial Triangle Twist","kamel mennour","2014","Own"
"Katano, Marc","9/14/2016","60 x 80","","Acrylic on Canvas","","YM","18000","Storage","Echo","Stremmel Gallery","","Own"
"Katano, Marc","9/14/2016","56 x 39","","Mixed Media on Paper","Sold by DC for 15'500","YM","10150","Archived","Kite","Stremmel Gallery","","Sold"
"Katano, Marc","9/14/2016","56 x 39","","Mixed Media on Paper","Sold by DC for 15.500","YM","10150","Dolby Chadwick","Queen Bee","Stremmel Gallery","2023","Sold"
"Katano, Marc","1/19/2015","59 x 59","","Mixed Media on Paper","","YM","14000","Truckee","Raga","Stremmel Gallery","","Own"
"Katano, Marc","1/29/2015","59 x 46","","Mixed Media on Paper","","YM","8000","Truckee","Rascal","Stremmel Gallery","","Own"
"Kawecki, Jean","","33 x 24 x 17","","Sculpture: Stone","","YM","","Storage","","Broadfoot & Broadfoot","","Own"
"Kawecki, Jean","","33 x 24 x 17","","Sculpture: Stone","","YM","","Storage","Fragment of a Slow Dance","Broadfoot & Broadfoot","","Own"
"Kelly, Jay","4/9/2017","","","Sculpture: Metal","","YM","17760","Carpinteria","Untitled 452, 449, 439","","2016","Own"
